본부코드,본부명,지사코드,지사명,노선코드,노선명,방향,휴게소명,이정,면적1,면적2,면적3,면적4,광장포장형태1,광장포장형태2,광장포장형태3,광장포장형태4,두께1,두께2,두께3,두께4,비고
N01801,부산경남본부,N00490,울산지사,0655,부산포항선,포항,장안휴게소,25.803,,7813.000,,,,100,,,,20.000,,,
N01801,부산경남본부,N00490,울산지사,0655,부산포항선,포항,장안휴게소,25.803,16444.000,,,,300,,,,25.000,,,,
N01801,부산경남본부,N00490,울산지사,0655,부산포항선,포항,장안휴게소,25.803,,7813.000,,,,100,,,,20.000,,,
N01801,부산경남본부,N00490,울산지사,0655,부산포항선,부산,장안휴게소,25.683,17997.000,,,,300,,,,25.000,,,,
N01801,부산경남본부,N00490,울산지사,0655,부산포항선,부산,장안휴게소,25.683,17997.000,,,,300,,,,25.000,,,,
N01801,부산경남본부,N00490,울산지사,0655,부산포항선,부산,장안휴게소,25.583,,8139.000,,,,100,,,,20.000,,,
N01801,부산경남본부,N00490,울산지사,0655,부산포항선,부산,장안휴게소,25.583,,8139.000,,,,100,,,,20.000,,,
N02723,충북본부,N00338,진천지사,0400,평택제천선,평택,안성맞춤,38.690,58788.000,,,,300,,,,80.000,,,,
N02723,충북본부,N00338,진천지사,0400,평택제천선,제천,안성맞춤,38.690,61244.000,,,,300,,,,80.000,,,,
N01797,대전충남본부,N01390,공주지사,0305,당진대전선,당진,공주,70.000,108060.000,,,,300,,,,30.000,,,,
N01797,대전충남본부,N01390,공주지사,0305,당진대전선,당진,신풍(임시),52.970,38460.000,,,,300,,,,25.000,,,,
N01797,대전충남본부,N01390,공주지사,0305,당진대전선,당진,예산,33.640,10440.800,,,,300,,,,25.000,,,,
N01797,대전충남본부,N01390,공주지사,0305,당진대전선,대전,공주,70.000,108060.000,,,,300,,,,30.000,,,,
N01797,대전충남본부,N01390,공주지사,0305,당진대전선,대전,예산,32.890,8531.850,,,,300,,,,25.000,,,,
N01797,대전충남본부,N01390,공주지사,0305,당진대전선,대전,신풍(임시),52.540,32190.000,,,,300,,,,25.000,,,,
N00368,호남지역본부,N00414,부안지사,0150,서해안선,서울,고창고인돌,79.600,3000.000,,,,300,,,,30.000,,,,
N00368,호남지역본부,N00414,부안지사,0150,서해안선,목포,고창고인돌,80.230,3000.000,,,,300,,,,30.000,,,,
N00368,호남지역본부,N00414,부안지사,0150,서해안선,목포,부안임시휴게소,104.000,3700.000,,,,300,,,,30.000,,,,
N00368,호남지역본부,N00414,부안지사,0150,서해안선,서울,부안임시휴게소,104.000,3650.000,,,,300,,,,30.000,,,,
N00309,충청지역본부,N01391,부여지사,1510,서천공주선,서천,부여백제,25.150,71199.000,,,,300,,,,77.000,,,,
N00309,충청지역본부,N01391,부여지사,1510,서천공주선,공주,청양(임시),48.600,40000.000,,,,300,,,,80.000,,,,
N00309,충청지역본부,N01391,부여지사,1510,서천공주선,서천,청양(임시),48.600,40000.000,,,,300,,,,80.000,,,,
N00309,충청지역본부,N01391,부여지사,0150,서해안선,목포,군산,142.000,50249.000,,,,300,,,,10.000,,,,ILP포장
N01797,대전충남본부,N00356,당진지사,0305,당진대전선,당진,면천임시휴게소,8.690,6917.000,,,,300,,,,25.000,,,,
N01797,대전충남본부,N00356,당진지사,0305,당진대전선,대전,면천임시휴게소,8.640,6755.000,,,,300,,,,25.000,,,,
N01796,강원본부,N00293,홍천지사,0550,중앙선,부산,춘천휴게소,380.800,8600.000,,,,300,,,,8.000,,,,ILP블럭
N01796,강원본부,N00293,홍천지사,0550,중앙선,부산,원주휴게소,327.500,15097.000,,,,300,,,,8.000,,,,ILP블럭
N01796,강원본부,N00293,홍천지사,0550,중앙선,춘천,원주휴게소,327.500,,17316.000,,,,100,,,,5.000,,,
N01796,강원본부,N00283,대관령지사,0500,영동선,강릉,강릉,230.890,19325.000,,,,300,,,,10.000,,,,ILP블럭
N00267,강원지역본부,N01443,강릉도로관리소,0650,동해선,부산,현남휴게소,66.297,7529.000,,,,300,,,,30.000,,,,
N00267,강원지역본부,N01443,강릉도로관리소,0650,동해선,속초,현남휴게소,65.807,7244.000,,,,300,,,,30.000,,,,
N01795,서울경기본부,N00242,수원지사,4000,수도권제2순환선,양평,오산(봉담),5.500,22809.000,,,,300,,,,28.000,,,,ILP8/230
N00368,호남지역본부,N01464,진안도로관리소,0205,완주장수선,완주,진안(익산),41.460,52237.000,,,,300,,,,5.000,,,,ILP블럭포장
N00368,호남지역본부,N01464,진안도로관리소,0205,완주장수선,장수,진안(장수),41.460,50101.000,,,,300,,,,5.000,,,,ILP블럭포장
N01799,광주전남본부,N01044,담양지사,0250,논산천안선/호남선,순천,곡성휴게소,48.340,8562.000,,,,300,,,,0.000,,,,ILP
N01799,광주전남본부,N01044,담양지사,0250,논산천안선/호남선,천안,곡성휴게소,48.340,6520.000,,,,300,,,,0.000,,,,ILP
N01795,서울경기본부,N00255,동서울지사,1000,수도권제1순환선,일산,서하남휴게소,19.000,,2324.000,,,,100,,,,30.000,,,
N01795,서울경기본부,N00255,동서울지사,1000,수도권제1순환선,판교,의왕(청계)휴게,121.000,,1379.000,,,,100,,,,30.000,,,
N01796,강원본부,N00260,이천지사,0500,영동선,인천,덕평(상),70.000,26446.000,,,,300,,,,8.000,,,,ILP
N01796,강원본부,N00260,이천지사,0500,영동선,강릉,덕평(하),70.000,15400.000,,,,300,,,,8.000,,,,ILP
N01795,서울경기본부,N00221,시흥지사,0150,서해안선,서울,목감간이휴게소,331.300,,11000.000,,,,100,,,,33.000,,,
N01795,서울경기본부,N00218,인천지사,0270,순천완주선,순천,오수휴게소,74.149,13098.660,,,,300,,,,25.000,,,,
N01796,강원본부,N00260,이천지사,0500,영동선,인천,용인(상),55.300,,13800.000,,,,100,,,,8.000,,,
N01796,강원본부,N00278,원주지사,0500,영동선,인천,문막(서창),112.600,18397.000,,,,300,,,,10.000,,,,ILP불럭
N02723,충북본부,N02428,제천지사,0550,중앙선,부산,제천임시휴게소,277.800,12500.000,,,,300,,,,8.000,,,,ILP블럭
N02723,충북본부,N02428,제천지사,0550,중앙선,춘천,제천임시휴게소,276.500,12500.000,,,,300,,,,8.000,,,,ILP블럭
N01799,광주전남본부,N01044,담양지사,0250,논산천안선/호남선,순천,곡성휴게소(순천,49.000,3037.000,,,,300,,,,30.000,,,,"진입/진출"
N01799,광주전남본부,N01044,담양지사,0250,논산천안선/호남선,천안,곡성휴게소(천안,49.000,1912.000,,,,300,,,,30.000,,,,"진입/진출"
N00368,호남지역본부,N00422,함평지사,0121,무안광주선,무안,나비휴게소,11.800,31792.000,,,,300,,,,0.000,,,,ILP블럭
N00368,호남지역본부,N00422,함평지사,0121,무안광주선,광주,나비휴게소,12.180,30803.000,,,,300,,,,0.000,,,,ILP블럭
N00309,충청지역본부,N01391,부여지사,1510,서천공주선,공주,부여백제,25.150,71199.000,,,,300,,,,77.000,,,,
N01799,광주전남본부,N01640,구례지사,0270,순천완주선,순천,황전휴게소,25.299,12957.000,,,,300,,,,25.000,,,,
N01799,광주전남본부,N01640,구례지사,0270,순천완주선,완주,황전휴게소,25.699,11991.000,,,,300,,,,25.000,,,,
N01795,서울경기본부,N00242,수원지사,4000,수도권제2순환선,화성,오산(동탄),5.500,24205.000,,,,300,,,,28.000,,,,ILP9/072
N01800,대구경북본부,N02432,성주지사,0450,중부내륙선,양평,성주화물차주차장,96.540,52800.000,,,,300,,,,25.000,,,,
N01800,대구경북본부,N02432,성주지사,0450,중부내륙선,창원,성주화물차주차장,96.660,52800.000,,,,300,,,,25.000,,,,
N01799,광주전남본부,N02031,광주지사,0250,논산천안선/호남선,순천,백양사휴게소,107.030,19136.000,,,,300,,,,8.000,,,,ILP블럭포장
N01799,광주전남본부,N02031,광주지사,0250,논산천안선/호남선,천안,백양사휴게소,107.600,19000.000,,,,300,,,,8.000,,,,
N01795,서울경기본부,N00255,동서울지사,1000,수도권제1순환선,일산,구리휴게소,31.000,,2088.000,,,,100,,,,30.000,,,
N01801,부산경남본부,N00512,창원지사,0102,남해선(순천부산),순천,진영(순천),135.400,31124.000,,,,300,,,,25.000,,,,ILP
N01801,부산경남본부,N02749,서울산지사,0010,경부선,부산,통도사휴게소,30.900,11900.000,,,,300,,,,30.000,,,,
N01799,광주전남본부,N00399,순천지사,0102,남해선(순천부산),부산,섬진강휴게소,30.800,,16998.000,,,,100,,,,8.000,,,
N01797,대전충남본부,N02022,대전지사,0010,경부선,서울,신탄진,280.600,,63846.000,,,,100,,,,30.000,,,
N01797,대전충남본부,N02022,대전지사,0010,경부선,서울,죽암,288.900,,15809.000,,,,100,,,,30.000,,,
N01797,대전충남본부,N02022,대전지사,0010,경부선,부산,죽암,287.800,29312.000,,,,300,,,,8.000,,,,
N01798,전북본부,N01989,논산지사,2510,호남선의 지선,대전,계룡휴게소,29.000,23756.000,,,,300,,,,8.000,,,,
N01798,전북본부,N01989,논산지사,2510,호남선의 지선,논산,벌곡휴게소,23.000,27840.000,,,,300,,,,8.000,,,,
N01798,전북본부,N01989,논산지사,0250,논산천안선/호남선,천안,여산휴게소,192.500,,28050.000,,,,100,,,,30.000,,,
N01798,전북본부,N01989,논산지사,0250,논산천안선/호남선,순천,여산휴게소,192.500,,51744.000,,,,100,,,,30.000,,,
N01797,대전충남본부,N00321,천안지사,0010,경부선,서울,입장(상),356.300,51284.000,,,,300,,,,8.000,,,,ILP+콘 대림
N02723,충북본부,N01046,보은지사,0303,청주상주선,상주,화서휴게소,48.300,,7495.000,,,,100,,,,30.000,,,
N02723,충북본부,N01046,보은지사,0303,청주상주선,청주,문의 임시휴게소,5.600,,2400.000,,,,100,,,,30.000,,,
N02723,충북본부,N01046,보은지사,0303,청주상주선,상주,문의 임시휴게소,5.600,,2400.000,,,,100,,,,30.000,,,
N02723,충북본부,N01046,보은지사,0303,청주상주선,청주,속리산휴게소,43.546,,4600.000,,,,100,,,,30.000,,,
N02723,충북본부,N01046,보은지사,0303,청주상주선,상주,상주 임시휴게소,74.460,,2300.000,,,,100,,,,30.000,,,
N02723,충북본부,N01046,보은지사,0303,청주상주선,청주,상주 임시휴게소,74.460,,2400.000,,,,100,,,,30.000,,,
N01798,전북본부,N01986,전주지사,0250,논산천안선/호남선,천안,이서휴게소,160.400,27508.000,,,,300,,,,30.000,,,,
N01798,전북본부,N01986,전주지사,0250,논산천안선/호남선,순천,이서휴게소,160.400,30453.000,,,,300,,,,30.000,,,,
N01798,전북본부,N01832,진안지사,0205,완주장수선,장수,진안휴게소,41.460,,,,,,,,,,,,,ILP블럭
N01798,전북본부,N01832,진안지사,0205,완주장수선,완주,진안휴게소,41.460,,,,,,,,,,,,,ILP블럭
N01798,전북본부,N01832,진안지사,0205,완주장수선,장수,완주임시,12.400,,,,,,,,,,,,,ILP블럭
N01798,전북본부,N01832,진안지사,0205,완주장수선,완주,완주임시,12.400,,,,,,,,,,,,,ILP블럭
N01798,전북본부,N01832,진안지사,0270,순천완주선,순천,관촌임시,93.400,19446.000,,,,300,,,,25.000,,,,
N01798,전북본부,N01832,진안지사,0270,순천완주선,완주,관촌임시,93.400,23122.000,,,,300,,,,25.000,,,,
N01796,강원본부,N01410,춘천지사,0600,서울양양선,서울,가평휴게소,39.000,,7442.000,,,,100,,,,5.000,,,칼라 아스콘
N01796,강원본부,N01410,춘천지사,0600,서울양양선,서울,가평휴게소,39.000,14613.000,,,,300,,,,25.000,,,,무근 콘크리트
N01796,강원본부,N01410,춘천지사,0600,서울양양선,양양,가평휴게소,39.150,,5735.000,,,,100,,,,5.000,,,칼라 아스콘
N01796,강원본부,N01410,춘천지사,0600,서울양양선,양양,가평휴게소,39.150,19476.000,,,,300,,,,25.000,,,,무근 콘크리트
N01795,서울경기본부,N00221,시흥지사,0150,서해안선,서울,목감,331.300,,11000.000,,,,100,,,,33.000,,,
N01795,서울경기본부,N00234,화성지사,0150,서해안선,서울,화성(서울),301.800,1430.000,14420.000,4470.000,,300,100,400,,30.000,13.000,8.000,,
N01795,서울경기본부,N00234,화성지사,0150,서해안선,서울,화성(서울),301.800,1430.000,14420.000,4470.000,,300,100,400,,30.000,13.000,8.000,,
N01795,서울경기본부,N00234,화성지사,0150,서해안선,서울,화성(서울),301.800,1430.000,14420.000,4470.000,,300,100,400,,30.000,13.000,8.000,,
N01795,서울경기본부,N00234,화성지사,0150,서해안선,목포,화성(목포),301.800,16550.000,15980.000,5000.000,,300,100,400,,30.000,13.000,8.000,,
N01795,서울경기본부,N00234,화성지사,0150,서해안선,목포,화성(목포),301.800,16550.000,15980.000,5000.000,,300,100,400,,30.000,13.000,8.000,,
N01795,서울경기본부,N00234,화성지사,0150,서해안선,목포,화성(목포),301.800,16550.000,15980.000,5000.000,,300,100,400,,30.000,13.000,8.000,,
N01795,서울경기본부,N00242,수원지사,0010,경부선,서울,죽전(상),399.700,,12231.000,,,,100,,,,15.000,,,
